Author,Journal,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Replications in experiment,Crop,Initial year of NT practice ( or first year of experiment if missing),Sowing year,Harvest year,Years since NT started (yrs),Crop growing season recorded in the paper,Crop rotation with at least 3 crops involved in CT,Crop rotation with at least 3 crops involved in NT,Crop sequence (details),Cover crop before sowing,Soil cover in CT,Soil cover in NT,Residue management of previous crop in CT  (details),Residue management of previous crop in NT (details),Weed and pest control CT,Weed and pest control NT ,Weed and pest control CT (details),Weed and pest control NT  (details),Fertilization CT ,Fertilization NT,N input,N input rates with the unit kg N ha-1 (details),Field fertilization (details),Irrigation CT,Irrigation NT,Water applied in CT,Water applied in NT,Other information,Yield of CT,Yield of NT,Relative yield change,Yield increase with NT,Outlier of CT,Outlier of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2001,2001,3,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,168,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2009",13964,11499,-0.1765,No,,,5,11,253,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2001,2001,3,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,67,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2010",11535,9222,-0.2005,No,,,5,11,253,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2001,2001,3,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,134,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2011",13606,10778,-0.2078,No,,,5,11,253,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2002,2002,4,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,134,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2012",12348,11133,-0.0984,No,,,5,11,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2002,2002,4,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,No,No,No,0,,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2013",6304,5422,-0.1399,No,,,5,11,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2002,2002,4,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,168,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2014",12491,9542,-0.2361,No,,,5,11,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2002,2002,4,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,67,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2015",10986,7150,-0.3492,No,,,5,11,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2003,2003,5,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,67,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2016",8565,8123,-0.0516,No,,,5,11,223,576.644,-353.644,14.8,31.98261,-5.42037,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2003,2003,5,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,134,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2017",10533,9851,-0.0647,No,,,5,11,223,576.644,-353.644,14.8,31.98261,-5.42037,Loam
Halvorson et al.,Agronomy Journal,2006,USA,"Colorado, Fort Collins",40.65,-104.98,clay loam,7.6,3,maize,1999,2003,2003,5,4 to,No,No,continuous,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,168,UAN,Yes,Yes,,,"The corn was sprinkler-irrigated with a linear-move system as needed [determined weekly by the feel method. Triple superphosphate (0–46–0) was applied to the entire plot area before corn planting at 56 kg P ha-1 in 1999 and 28 kg P ha-1 in 2004. The soil had a pH of 7.6 (soil:0.01MCaCl2 solution ratio 1:2), organic matter content of 21 g kg-1, electrical conductivity of 0.7 dS m21 (soil:water ratio 1:1), sodium bicarbonate extractable P content of 17 g kg-1, and a clay and silt contents of 33 and 27%, respectively, in the 0- to 15-cm depth. Due to only a minimal grain yield response to N fertilization at the N6 rate in 2000, the fertilizer N rate was reduced to 168 kg N ha-1 in 2001, increased back to 202 kg N ha-1 in 2002, and then increased to 224 kg N ha-1 in 2003 and 2004 due to obvious N shortage in the NT system with each additional corn crop. The same rate of N was applied to the same plots each year with the exception of the N6 treatment. The N source was UAN (32–0-0), which was applied with a liquid fertilizer applicator that banded the N about 5 cm below the soil surface in bands spaced 33 cm apart (parallel to the corn row, but at varying distance from the corn row) the day before corn planting. Starter P and K fertilizer was applied directly with the seed at planting except in 2001. Corn hybrid Pioneer Brand 38B22 Bt LL was planted with a 76-cm row spacing on 27 Apr. 2000, DeKalb DK440 RR/YG on 30 Apr. 2001, Pioneer Brand 37H26 LL on 24 Apr. 2002, DeKalb DKC44–46 RR/YGCB on 28 Apr. 2003, and Pioneer Brand 38P04 LL on 27 Apr. 2004 in the plot area. Planting rates were approximately 84 000 seeds ha21 in 2000, 2003, and 2004; 91 000 seeds ha21 in 2001; and 96 000 seeds ha21 in 2002. The corn planter was equipped with residue managers or trash whippers to facilitate planting in the NT system. Corn hybrid was changed from year to year to allow herbicide rotation. In 2000 and 2001, N level in the water was not monitored but was assumed to be similar to that in 2002–2004. The total N contribution from the irrigation water to the plot area was estimated to total about 12 kg N ha-1 in 2000, 12 kg N ha21 on CT plots and 10 kg N ha-1 on the NT plots in 2001, 14 kg N ha-1 in 2002, 15 kg N ha-1 in 2003, and 8 kg N ha-1 in 2004 during irrigation of the corn with a very small amount. Crop residue cover on the soil surface was estimated each spring just before planting using the line-transect method. Residue cover did not vary with N rate in the NT system but varied slightly with N rate in the CT system.  Irrigation: 414 342 484 505 411 362 mm for 2000CT 2000 NT and 2001 to 2018",11756,10572,-0.1007,No,,,5,11,223,576.644,-353.644,14.8,31.98261,-5.42037,Loam
